PLAYER_NAME,iso_freq,iso_ppp,tr_freq,tr_ppp,prb_freq,prb_ppp,prr_freq,prr_ppp,pu_freq,pu_ppp,su_freq,su_ppp,ho_freq,ho_ppp,cut_freq,cut_ppp,os_freq,os_ppp,putback_freq,putback_ppp,misc_freq,misc_ppp
Aaron Gordon,0.06,0.785,0.14,1.043,0.121,0.766,0.026,0.912,0.132,0.838,0.204,1.004,0.069,1.011,0.069,1.378,0.069,0.878,0.07,1.163,0.041,0.481
Aaron Holiday,0.04,0.846,0.189,1.033,0.322,0.798,0.0,0.0,0.0,0.0,0.238,1.052,0.111,0.806,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.5
Abdel Nader,0.049,1.333,0.236,1.086,0.089,0.773,0.0,0.0,0.0,0.0,0.492,0.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,0.028,1.208,0.085,1.0,0.0,0.0,0.316,1.154,0.165,0.993,0.176,1.086,0.0,0.0,0.09,1.359,0.019,0.938,0.056,1.125,0.057,0.347
Al-Farouq Aminu,0.034,1.04,0.154,1.184,0.022,0.563,0.035,1.346,0.0,0.0,0.47,0.945,0.015,0.818,0.103,1.184,0.026,0.579,0.08,1.237,0.054,0.75
Alec Burks,0.114,0.837,0.133,0.807,0.271,0.69,0.0,0.0,0.026,0.909,0.187,1.237,0.07,1.133,0.051,1.318,0.04,0.882,0.044,0.947,0.058,0.8
Alex Abrines,0.0,0.0,0.175,0.742,0.079,1.214,0.056,0.6,0.0,0.0,0.424,1.067,0.085,1.333,0.0,0.0,0.113,0.85,0.0,0.0,0.0,0.0
Alex Caruso,0.053,1.154,0.147,1.139,0.416,0.824,0.0,0.0,0.0,0.0,0.147,1.0,0.041,1.1,0.065,1.313,0.0,0.0,0.0,0.0,0.086,0.429
Alex Len,0.015,0.5,0.086,1.239,0.0,0.0,0.197,1.093,0.109,1.1,0.213,1.057,0.0,0.0,0.142,1.128,0.0,0.0,0.146,0.908,0.081,0.358
Alex Poythress,0.0,0.0,0.16,1.353,0.0,0.0,0.179,1.316,0.0,0.0,0.292,0.871,0.0,0.0,0.104,1.273,0.0,0.0,0.16,1.0,0.104,0.091
Alfonzo McKinnie,0.0,0.0,0.175,1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.383,1.048,0.031,0.2,0.156,1.333,0.0,0.0,0.135,0.977,0.061,0.45
Allen Crabbe,0.0,0.0,0.128,1.161,0.032,0.571,0.0,0.0,0.0,0.0,0.348,0.908,0.087,1.132,0.0,0.0,0.297,0.877,0.0,0.0,0.053,0.739
Allonzo Trier,0.106,1.0,0.23,1.047,0.336,0.802,0.0,0.0,0.0,0.0,0.167,1.089,0.042,0.839,0.015,0.727,0.033,1.0,0.024,1.278,0.039,0.621
Amir Johnson,0.0,0.0,0.119,0.846,0.0,0.0,0.123,1.185,0.0,0.0,0.164,1.0,0.0,0.0,0.237,1.0,0.0,0.0,0.155,1.029,0.16,0.371
Andre Drummond,0.026,0.838,0.099,1.136,0.0,0.0,0.148,1.086,0.185,0.837,0.037,0.615,0.0,0.0,0.156,1.162,0.0,0.0,0.258,1.052,0.088,0.416
Andre Iguodala,0.031,0.417,0.227,1.264,0.05,0.737,0.0,0.0,0.0,0.0,0.347,0.91,0.037,1.071,0.141,1.5,0.0,0.0,0.026,1.6,0.084,0.344
Andrew Bogut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,1.182,0.0,0.0,0.244,0.727,0.222,0.4
Andrew Harrison,0.218,0.917,0.0,0.0,0.309,0.706,0.0,0.0,0.0,0.0,0.218,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,0.082,0.81,0.14,1.106,0.265,0.74,0.0,0.0,0.08,0.737,0.164,0.918,0.101,0.927,0.054,1.337,0.036,0.717,0.038,1.07,0.036,0.648
Ante Zizic,0.0,0.0,0.073,1.182,0.0,0.0,0.22,1.162,0.231,0.683,0.022,0.6,0.0,0.0,0.18,1.296,0.0,0.0,0.2,1.156,0.062,0.286
Anthony Davis,0.077,0.98,0.13,1.15,0.014,0.833,0.141,1.016,0.183,0.967,0.118,1.07,0.014,0.944,0.098,1.466,0.055,0.945,0.108,1.287,0.064,0.859
Anthony Tolliver,0.0,0.0,0.144,1.37,0.0,0.0,0.113,1.306,0.0,0.0,0.538,0.953,0.0,0.0,0.041,0.846,0.056,1.111,0.0,0.0,0.056,0.333
Antonio Blakeney,0.148,0.971,0.139,1.125,0.287,0.742,0.0,0.0,0.0,0.0,0.22,1.049,0.141,0.631,0.0,0.0,0.022,0.8,0.0,0.0,0.0,0.0
Aron Baynes,0.0,0.0,0.051,1.133,0.0,0.0,0.201,0.898,0.068,1.1,0.123,1.222,0.0,0.0,0.195,1.263,0.0,0.0,0.218,0.953,0.13,0.395
Austin Rivers,0.251,1.009,0.13,1.143,0.193,0.783,0.0,0.0,0.0,0.0,0.306,1.053,0.06,0.933,0.0,0.0,0.056,1.0,0.0,0.0,0.039,0.235
Avery Bradley,0.044,1.3,0.12,0.746,0.197,0.732,0.0,0.0,0.0,0.0,0.284,1.071,0.127,1.069,0.093,1.0,0.067,0.939,0.037,0.778,0.063,0.355
