PLAYER_NAME,total_poss,iso_ppp,iso_poss,tr_ppp,tr_poss,prb_ppp,prb_poss,prr_ppp,prr_poss,pu_ppp,pu_poss,su_ppp,su_poss,ho_ppp,ho_poss,cut_ppp,cut_poss,os_ppp,os_poss,putback_ppp,putback_poss,misc_ppp,misc_poss
Aaron Brooks,565.8000000000001,0.78,41.4,0.95,62.1,0.82,324.3,0.0,0.0,0.0,0.0,1.113,69.0,0.923,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.379,27.6
Aaron Gordon,725.4,0.6,31.200000000000003,1.079,124.80000000000001,1.0,39.0,1.0,54.599999999999994,0.71,31.200000000000003,0.85,179.39999999999998,0.667,15.600000000000001,1.292,85.80000000000001,0.0,0.0,1.292,109.19999999999999,0.642,54.599999999999994
Al Horford,1213.6000000000001,0.725,41.0,1.246,123.0,0.0,0.0,1.13,303.40000000000003,0.888,172.20000000000002,0.929,278.8,0.0,0.0,1.185,131.20000000000002,0.884,41.0,1.284,65.60000000000001,0.491,57.4
Al Jefferson,568.7,0.0,0.0,1.364,9.4,0.0,0.0,1.081,98.7,0.882,305.5,1.0,28.2,0.0,0.0,1.16,79.89999999999999,0.0,0.0,0.824,32.9,0.4,14.1
Al-Farouq Aminu,893.8000000000001,0.324,32.800000000000004,0.894,164.0,0.684,73.8,1.0,32.800000000000004,0.421,16.400000000000002,1.027,336.2,0.889,57.4,1.413,49.199999999999996,0.867,41.0,1.135,49.199999999999996,0.675,41.0
Alan Anderson,45.5,0.818,10.4,1.0,11.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.333,23.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,424.70000000000005,0.769,52.699999999999996,1.087,68.2,0.821,139.5,0.0,0.0,0.0,0.0,1.095,96.10000000000001,0.882,34.1,1.0,15.5,0.0,0.0,0.0,0.0,0.9,18.599999999999998
Alex Len,865.8,0.273,23.4,0.897,39.0,0.0,0.0,0.869,101.4,0.686,257.4,0.671,78.0,0.0,0.0,1.163,171.60000000000002,0.75,15.600000000000001,0.946,109.19999999999999,0.315,70.2
Alex Stepheson,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,15.2,0.0,0.0
Alexis Ajinca,383.5,0.0,0.0,1.0,17.7,0.0,0.0,0.945,106.2,0.684,35.4,0.75,59.0,0.0,0.0,1.088,70.8,1.0,17.7,1.116,41.3,0.353,35.4
Allen Crabbe,761.4,0.0,0.0,1.193,137.7,0.75,72.9,1.12,24.3,0.0,0.0,1.192,251.1,0.765,81.0,1.471,32.4,0.93,129.6,2.0,8.1,0.5,24.3
Alonzo Gee,313.9,0.0,0.0,1.19,102.19999999999999,0.7,7.300000000000001,0.0,0.0,0.0,0.0,0.811,109.5,0.0,0.0,1.209,43.8,0.0,0.0,1.034,29.200000000000003,0.348,21.9
Amar'e Stoudemire,286.00000000000006,0.0,0.0,0.833,10.4,0.0,0.0,1.296,83.2,0.789,57.2,0.909,10.4,0.0,0.0,1.207,57.2,0.727,10.4,1.071,41.6,0.167,15.6
