PLAYER_NAME,iso_freq,iso_ppp,iso_poss,tr_freq,tr_ppp,tr_poss,prb_freq,prb_ppp,prb_poss,prr_freq,prr_ppp,prr_poss,pu_freq,pu_ppp,pu_poss,su_freq,su_ppp,su_poss,ho_freq,ho_ppp,ho_poss,cut_freq,cut_ppp,cut_poss,os_freq,os_ppp,os_poss,putback_freq,putback_ppp,putback_poss,misc_freq,misc_ppp,misc_poss
Aaron Brooks,0.11,0.762,39.0,0.102,0.718,39.0,0.441,0.852,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,1.014,71.5,0.05,0.737,19.5,0.0,0.0,0.0,0.037,1.143,13.0,0.0,0.0,0.0,0.055,0.429,19.5
Aaron Gordon,0.068,1.155,72.0,0.199,1.029,208.0,0.111,0.75,112.0,0.045,1.17,48.0,0.074,0.795,80.0,0.222,0.785,232.0,0.049,0.784,48.0,0.075,1.747,80.0,0.038,0.75,40.0,0.08,1.202,88.0,0.039,0.659,40.0
Al Horford,0.04,1.128,40.8,0.05,1.125,47.599999999999994,0.0,0.0,0.0,0.244,1.025,238.0,0.282,0.934,272.0,0.184,1.028,176.8,0.0,0.0,0.0,0.067,1.138,68.0,0.035,0.882,34.0,0.034,1.0,34.0,0.052,0.52,47.599999999999994
Al Jefferson,0.018,0.6,13.200000000000001,0.018,1.1,13.200000000000001,0.0,0.0,0.0,0.224,0.975,118.8,0.462,0.984,250.79999999999998,0.018,0.8,13.200000000000001,0.0,0.0,0.0,0.122,1.182,66.0,0.0,0.0,0.0,0.094,1.059,52.800000000000004,0.039,0.476,19.8
Al-Farouq Aminu,0.049,0.8,30.5,0.141,0.828,85.39999999999999,0.023,1.357,12.200000000000001,0.075,0.783,48.800000000000004,0.016,0.9,12.200000000000001,0.459,0.88,280.59999999999997,0.028,0.353,18.3,0.08,1.143,48.800000000000004,0.0,0.0,0.0,0.068,0.976,42.699999999999996,0.054,0.273,30.5
Alan Anderson,0.191,0.833,18.0,0.0,0.0,0.0,0.117,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Williams,0.0,0.0,0.0,0.096,1.5,32.9,0.0,0.0,0.0,0.237,1.083,84.60000000000001,0.169,0.8,61.1,0.0,0.0,0.0,0.0,0.0,0.0,0.209,0.973,75.2,0.0,0.0,0.0,0.181,1.078,65.8,0.093,0.333,32.9
Alec Burks,0.083,0.615,25.2,0.153,0.938,46.2,0.299,0.947,92.4,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.861,71.39999999999999,0.07,1.045,21.0,0.035,0.818,12.6,0.054,1.059,16.8,0.035,0.545,12.6,0.041,1.0,12.6
Alex Abrines,0.0,0.0,0.0,0.165,1.385,68.0,0.063,0.72,27.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.439,1.139,170.0,0.066,0.462,27.200000000000003,0.0,0.0,0.0,0.119,0.787,47.599999999999994,0.025,0.5,6.800000000000001,0.069,0.63,27.200000000000003
Alex Len,0.023,0.8,15.4,0.068,1.133,46.199999999999996,0.0,0.0,0.0,0.183,0.95,123.2,0.195,0.688,130.9,0.058,0.684,38.5,0.0,0.0,0.0,0.177,1.224,115.5,0.0,0.0,0.0,0.16,1.267,107.8,0.119,0.359,77.0
Alex Poythress,0.0,0.0,0.0,0.197,0.667,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,1.25,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Ajinca,0.0,0.0,0.0,0.07,0.813,15.600000000000001,0.0,0.0,0.0,0.254,1.069,58.5,0.053,0.417,11.7,0.11,0.8,23.4,0.0,0.0,0.0,0.289,1.167,66.3,0.0,0.0,0.0,0.101,1.0,23.4,0.096,0.136,23.4
Allen Crabbe,0.016,0.75,15.8,0.166,1.278,126.4,0.045,0.794,31.6,0.017,1.308,15.8,0.0,0.0,0.0,0.353,1.228,268.59999999999997,0.096,0.89,71.10000000000001,0.051,1.41,39.5,0.22,0.958,165.9,0.0,0.0,0.0,0.028,0.571,23.7
