PLAYER_NAME,total_poss,iso_ppp,iso_poss,tr_ppp,tr_poss,prb_ppp,prb_poss,prr_ppp,prr_poss,pu_ppp,pu_poss,su_ppp,su_poss,ho_ppp,ho_poss,cut_ppp,cut_poss,os_ppp,os_poss,putback_ppp,putback_poss,misc_ppp,misc_poss
Aaron Gordon,910.6000000000001,0.76,52.2,1.112,150.8,0.64,127.60000000000001,1.217,23.200000000000003,0.922,127.60000000000001,0.85,145.0,0.635,52.2,1.608,75.4,0.448,29.0,1.053,75.4,0.5,52.2
Aaron Holiday,585.8000000000001,1.048,40.599999999999994,0.809,110.19999999999999,0.722,214.60000000000002,0.0,0.0,0.0,0.0,1.233,150.8,0.861,34.8,0.0,0.0,1.0,11.600000000000001,0.0,0.0,0.48,23.200000000000003
Abdel Nader,268.8,0.0,0.0,1.235,52.800000000000004,0.667,28.799999999999997,0.0,0.0,0.0,0.0,0.895,115.19999999999999,0.706,19.200000000000003,1.615,14.399999999999999,1.375,24.0,0.0,0.0,0.733,14.399999999999999
Adam Mokoka,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,59.400000000000006,0.0,0.0,1.286,13.5,0.0,0.0,1.091,10.8,0.0,0.0,0.771,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,738.0,0.615,24.0,1.172,114.0,0.0,0.0,1.043,138.0,0.902,174.0,0.855,150.0,0.0,0.0,1.395,36.0,0.882,18.0,1.139,36.0,0.413,48.0
Al-Farouq Aminu,93.60000000000001,0.0,0.0,0.571,21.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.488,43.199999999999996,0.0,0.0,1.071,14.4,0.0,0.0,0.786,14.4,0.0,0.0
Alec Burks,767.9999999999999,0.873,52.800000000000004,1.163,96.0,0.92,278.4,0.0,0.0,0.933,28.799999999999997,1.02,100.80000000000001,1.213,76.80000000000001,1.321,28.799999999999997,0.946,57.599999999999994,1.143,14.399999999999999,0.571,33.599999999999994
Alen Smailagic,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,10.4,1.25,11.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Caruso,336.3999999999999,0.7,11.600000000000001,1.238,63.800000000000004,0.619,81.19999999999999,0.818,11.600000000000001,0.0,0.0,1.031,98.6,0.714,23.200000000000003,1.304,23.200000000000003,0.0,0.0,0.0,0.0,0.708,23.200000000000003
